grade_code,subject_code,subject_label,chapter_code,chapter_title,chapter_status,skill_code,skill_title,content_type,difficulty,status,decision,structural_pass,active_version,eligible_for_homework,total_count,approved_count,usable_count,draft_count,last_updated_at
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exam_practice,2,approved,,,,True,1,1,1,0,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exercise,2,approved,,,,True,1,1,1,0,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,assessment,2,draft,REVIEW,True,108538,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,practice,2,draft,REVIEW,True,108558,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,assessment,2,draft,REVIEW,True,108554,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,practice,2,draft,REVIEW,True,108546,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,assessment,2,draft,REVIEW,True,108550,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,practice,2,draft,REVIEW,True,108574,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,assessment,2,draft,REVIEW,True,108566,False,1,0,0,1,
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,practice,2,draft,REVIEW,True,108570,False,1,0,0,1,
